tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa
"@ReginaldoLopes @LulaOficial Quanto custa na sua cidade o litro da gasolina, do etanol, do leite, da cesta básica... abaixou pós pandemia!!! Então, foi o Presidente que conseguiu essas baixas de preços e não vai ser o 'L'adrão que vai te dar picanha e, sim, é o seu trabalho garantido pelo Bolsonaro e Guedes!","@reginaldolopes, Pandemia!!, Presidente, L'adrão, Bolsonaro, Guedes",,,,,"""!"": 0",,
"@PaulaTimteovie1 @BolsonaroSP Qual ex presidiário o Jair Genocida no exército, o Guilherme de Padua, a Flordelis ou seria o goleiro Bruno que acreditam na inocência do Jair milíciano https://t.co/9KUHreNS1K","Jair genocida, Guilherme de padua, Flordelis, Bruno, Jair milíciano https://t.co/9kuhrens1k",,K,,guilherme,,,
@mukecolxrs vc é parente do bolsonaro?,@mukecolxrs,,,,,,,
"@thinkmoreBrazil certeza que não lambeu as bolas do mito, nem do Lula.","@thinkmorebrazil, Lula",,,,,,,
"@jairmearrependi Bom dia Brasil, bom dia mundo. Hj é dia 9 de outubro de 2022. Saymon, vc vai me pagar por td q o v3lh0t3 3sf4qu34d0 tem feito. Vc e a Wayne vão me pagar por deixar o bolsonaro tomar o meu poder e todo meu dinheiro.","@jairmearrependi bom, Brasil, Hj, Saymon, Td, Vc, Wayne, Bolsonaro",,,,"3sf4qu34d0, v3lh0t3",,,"me, me"
@Marcia22G @jairbolsonaro Teu cool . Capetão Jair Bolsonaro,Capetão jair bolsonaro,,G,,,,,
"@xicosa publicou a historia de uma criança que levou parte da merenda para a mãe com intuito de colocar a culpa no Presidente Bolsonaro.
Mas descobriram a FARSA!
A esquerda é corrupta e mentirosa mesmo. https://t.co/Lj7UKbExHr","@xicosa, Presidente bolsonaro, Farsa!",,"FARSA, A",,,,,
@Romilso19787527 @joaoamoedonovo O problema aqui é o lula seguir com esse plano do Bolsonaro.,"@joaoamoedonovo, Bolsonaro",,O,,,,,
@Rodrigo18637365 Boa noite Patriota Seguindo SDV,@rodrigo18637365 boa,,SDV,,,,segui,
@c0nker13 @jairmearrependi E minha tia Bolsonara do crlh disse que vai tirar o dinheiro dela da poupança antes que o lula confisque kkkk (pelo menos ela já tá conformada que o Bozo vai cair fora ),"@c0nker13 @jairmearrependi, Bolsonara do crlh, Lula confisque kkkk, Bozo",,E,,,,,
"LMAO que bom que a mídia internacional pegou justo a parada que ele usou o TSE pra tentar abafar

https://t.co/cbHdWbtmxN","Lmao, Tse, Https://t.co/cbhdwbtmxn",,"LMAO, TSE",,mao,,,
"@jairbolsonaro No primeiro turno eu votei no capitão, mais agora vou votar no 9dedo, Cria vergonha na cara capitão, como pode o senhor, que é presidente espalhando fakenews? Esse é o exemplo que você quer da ao Brasil?","@jairbolsonaro, Cria vergonha na cara capitão, O senhor, Brasil",,,,,,,eu
"@jandira_feghali @ricardostuckert Ele precisa ir pra Bahia. O vice GOVERNADOR DA BAHIA DECLARA APOIO A BOLSONARO

https://t.co/DonSCP0JHg","@jandira_feghali @ricardostuckert, Bahia, Governador da, Bahia declara apoio, Bolsonaro",,"O, GOVERNADOR, DA, BAHIA, DECLARA, APOIO, A, BOLSONARO",,,,,
@jc_pe Agora é Raquel 45 💜 e Bolsonaro 22 🇧🇷🇧🇷,"@jc_pe, Raquel, Bolsonaro",💜,,,raquel,,,
"Ficariam com quais jogadores pra compor  o elenco de 23 . ⬇️

Rafael  
Guga 
Mariano
Jemerson 
Nathan
Rever 
Dodô 
Jair 
Calebe 
Ademir 
Pedrinho 
Allan Kardec 
Sasha 

 Base do time de 2023 : 

Everson 
Arana 
Allan 
Otavio 
Zaracho 
Rubens 
Nacho 
Hulk 
Pavon","Rafael, Guga, Mariano
jemerson, Nathan, Ademir 
pedrinho 
allan kardec, Sasha 

 base, Everson 
arana, Allan 
otavio 
zaracho, Rubens 
nacho 
hulk 
pavon",⬇,,,"allen, artur, hernâni, rafael, rubens",,acho,
@folha Bolsonaro saqueia o país para tentar ganhar a eleição .,Bolsonaro,,,,,,,
@Guthbsb VEJA O BOLSOLÃO! Como Bolsonaro compra deputado! Bolsonaro queria ver índio ser cozinhado e ainda comeria!!! Vá na minha página e DIVULGUE! VAMOS TACAR O DEDO MINHA GENTE! Bolsonaro tem que voltar para a cadeia!!! https://t.co/rQFiPfGQbU,"Veja, Bolsolão, Bolsonaro, Bolsonaro, Divulgue, Gente!, Bolsonaro",,"VEJA, O, BOLSOLÃO, DIVULGUE, VAMOS, TACAR, O, DEDO, MINHA, GENTE",,,"""!"": 0",,
